contract,local_path,source_repository,source_link
MintedTokenCappedCrowdsale,contracts/tokenmarketnet/contracts/MintedTokenCappedCrowdsale.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
MintedEthCappedCrowdsale,contracts/tokenmarketnet/contracts/MintedEthCappedCrowdsale.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
BrokerbotFactory,contracts/utils/factory/BrokerbotFactory.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
ExtraFinalizeAgent,contracts/tokenmarketnet/contracts/ExtraFinalizeAgent.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
Permit2Hub,contracts/utils/Permit2Hub.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
VestingWalletCliff,contracts/VestingWalletCliff.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
Reservoir,contracts/compound/contracts/Reservoir.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
BrokerbotQuoter,contracts/brokerbot/BrokerbotQuoter.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
SimplePriceOracle,contracts/compound/contracts/SimplePriceOracle.sol,Compound Protocol,https://github.com/compound-finance/compound-protocol
RelaunchedCrowdsale,contracts/tokenmarketnet/contracts/RelaunchedCrowdsale.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
Ingress,contracts/permissioning/contracts/Ingress.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
KYCPayloadDeserializer,contracts/tokenmarketnet/contracts/KYCPayloadDeserializer.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
IssuerWithId,contracts/tokenmarketnet/contracts/IssuerWithId.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
